12 items
  1.00  0.63  0.50  0.71  0.41  1.00  0.50  0.50  0.35  0.35  0.00  0.71
  0.63  1.00  0.63  0.89  0.77  0.63  0.63  0.63  0.89  0.89  0.00  0.89
  0.50  0.63  1.00  0.71  0.41  0.50  1.00  0.50  0.71  0.71  0.00  0.71
  0.71  0.89  0.71  1.00  0.58  0.71  0.71  0.35  0.75  0.75  0.00  0.75
  0.41  0.77  0.41  0.58  1.00  0.41  0.41  0.41  0.58  0.58  0.00  0.87
  1.00  0.63  0.50  0.71  0.41  1.00  0.50  0.50  0.35  0.35  0.00  0.71
  0.50  0.63  1.00  0.71  0.41  0.50  1.00  0.50  0.71  0.71  0.00  0.71
  0.50  0.63  0.50  0.35  0.41  0.50  0.50  1.00  0.71  0.71  0.00  0.71
  0.35  0.89  0.71  0.75  0.58  0.35  0.71  0.71  1.00  1.00  0.00  0.75
  0.35  0.89  0.71  0.75  0.58  0.35  0.71  0.71  1.00  1.00  0.00  0.75
  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
  0.71  0.89  0.71  0.75  0.87  0.71  0.71  0.71  0.75  0.75  0.00  1.00
